DISTRICT,YEAR,monsoon_precip,monsoon_z,drought,mam_T2M,mam_T2M_MAX,mam_T2M_MIN,mam_T2M_RANGE,mam_RH2M,mam_QV2M,mam_PS,mam_WS10M,mam_PRECTOT,djf_T2M,djf_RH2M,djf_PRECTOT,prev_monsoon_precip,prev_monsoon_z,LAT,LON
Arghakhanchi,1982,811.7,0.036298117991529225,0,24.77333333333333,32.20333333333333,18.313333333333333,13.89,34.68333333333333,7.103333333333334,93.06666666666666,3.1533333333333338,88.13,14.383333333333333,45.43666666666667,81.92999999999999,1225.79,1.3391344233812963,27.9,83.2
Arghakhanchi,1983,527.49,-0.857901467496712,1,25.349999999999998,33.03,18.513333333333332,14.516666666666666,25.543333333333333,5.683333333333334,93.02,3.35,64.9,14.26,33.73666666666667,13.84,811.7,0.036298117991529225,27.9,83.2
Arghakhanchi,1984,918.14,0.3711864184713446,0,27.16333333333333,35.43666666666667,19.726666666666667,15.713333333333333,21.48,5.29,92.84333333333332,3.4166666666666665,21.18,14.353333333333333,35.943333333333335,42.660000000000004,527.49,-0.857901467496712,27.9,83.2
Arghakhanchi,1985,724.8399999999999,-0.23698634066759164,0,27.173333333333332,35.580000000000005,19.483333333333334,16.096666666666668,19.06,4.743333333333333,92.80333333333333,3.58,32.98,14.69,34.61,41.730000000000004,918.14,0.3711864184713446,27.9,83.2
Arghakhanchi,1986,604.41,-0.6158908692920202,0,25.763333333333332,33.73,18.55,15.18,22.959999999999997,5.07,92.97666666666667,3.28,30.82,14.826666666666668,44.28333333333333,24.580000000000002,724.8399999999999,-0.23698634066759164,27.9,83.2
Arghakhanchi,1987,721.38,-0.24787241281772443,0,25.933333333333334,33.79333333333333,18.933333333333334,14.86,23.209999999999997,5.1466666666666665,93.10000000000001,3.3466666666666662,37.03,15.550000000000002,34.36333333333334,53.0,604.41,-0.6158908692920202,27.9,83.2
Arghakhanchi,1988,1055.4,0.8030425639416521,0,26.686666666666667,34.82,19.293333333333333,15.526666666666666,23.91333333333333,5.576666666666667,92.92,3.1,65.56,15.726666666666667,35.233333333333334,32.660000000000004,721.38,-0.24787241281772443,27.9,83.2
Arghakhanchi,1989,746.8,-0.16789439141414592,0,26.209999999999997,34.57333333333333,18.73,15.839999999999998,20.69666666666667,4.82,92.88666666666667,3.783333333333333,37.99,14.67,36.75,56.18,1055.4,0.8030425639416521,27.9,83.2
Arghakhanchi,1990,1077.18,0.8715681857422004,0,26.003333333333334,33.47333333333333,19.113333333333333,14.363333333333335,25.47666666666667,5.8566666666666665,92.97333333333334,3.1533333333333338,35.83,15.703333333333333,32.73666666666667,46.209999999999994,746.8,-0.16789439141414592,27.9,83.2
Arghakhanchi,1991,608.97,-0.6015439071519603,0,27.166666666666668,35.32333333333333,19.743333333333336,15.583333333333334,17.836666666666666,4.283333333333333,93.00666666666666,3.33,34.739999999999995,15.863333333333335,33.81,9.87,1077.18,0.8715681857422004,27.9,83.2
Arghakhanchi,1992,645.37,-0.4870199111216589,0,26.72,34.89666666666667,19.38,15.516666666666666,19.246666666666666,4.55,92.98333333333333,4.19,19.55,14.613333333333335,36.24333333333333,37.98,608.97,-0.6015439071519603,27.9,83.2
Arghakhanchi,1993,607.45,-0.6063262278653134,0,25.28333333333333,33.156666666666666,18.296666666666667,14.856666666666667,24.570000000000004,5.303333333333334,93.08666666666666,3.263333333333333,70.85,15.446666666666667,32.693333333333335,8.39,645.37,-0.4870199111216589,27.9,83.2
Arghakhanchi,1994,636.29,-0.5155879848566902,0,26.956666666666667,35.053333333333335,19.686666666666667,15.366666666666667,18.973333333333333,4.713333333333334,93.00999999999999,3.4033333333333338,11.39,15.663333333333334,30.209999999999997,31.400000000000002,607.45,-0.6063262278653134,27.9,83.2
Arghakhanchi,1995,663.11,-0.4312051943750229,0,27.013333333333335,34.99333333333333,19.86,15.133333333333335,18.986666666666668,4.6866666666666665,93.00999999999999,3.6633333333333336,13.19,15.033333333333331,30.60666666666667,28.130000000000003,636.29,-0.5155879848566902,27.9,83.2
Arghakhanchi,1996,586.52,-0.6721775255827369,0,26.793333333333333,34.85,19.453333333333333,15.396666666666667,22.923333333333336,5.3566666666666665,92.90666666666668,3.453333333333333,49.66,15.043333333333335,37.42333333333333,82.57000000000001,663.11,-0.4312051943750229,27.9,83.2
Arghakhanchi,1997,342.45,-1.4400860890749259,1,25.496666666666666,33.20333333333333,18.503333333333334,14.700000000000001,22.21666666666667,4.883333333333333,93.11,3.3000000000000003,40.410000000000004,14.6,26.709999999999997,5.32,586.52,-0.6721775255827369,27.9,83.2
Arghakhanchi,1998,790.87,-0.029238553363173634,0,25.756666666666664,33.29,19.01666666666667,14.276666666666666,27.040000000000003,6.0566666666666675,93.12666666666667,3.1199999999999997,52.55,14.533333333333331,37.24,35.64,342.45,-1.4400860890749259,27.9,83.2
Arghakhanchi,1999,375.09,-1.3373920442829192,1,27.106666666666666,35.63333333333333,19.53,16.11,17.8,4.55,92.78666666666668,3.3966666666666665,52.37,16.19,32.01333333333333,14.870000000000001,790.87,-0.029238553363173634,27.9,83.2
Arghakhanchi,2000,822.62,0.07065531680061954,0,26.58,34.34,19.646666666666665,14.693333333333333,21.84,5.536666666666666,92.87666666666667,3.15,67.89,15.216666666666667,26.743333333333336,9.3,375.09,-1.3373920442829192,27.9,83.2
Arghakhanchi,2001,668.24,-0.4150648619674557,0,26.349999999999998,33.95333333333333,19.58666666666667,14.366666666666667,24.52,6.073333333333333,92.98666666666668,3.08,70.76,15.340000000000002,28.483333333333334,0.6799999999999999,822.62,0.07065531680061954,27.9,83.2
Arghakhanchi,2002,339.48,-1.449430492047728,1,26.75333333333333,34.35333333333333,19.900000000000002,14.450000000000001,25.30333333333333,6.080000000000001,92.98333333333333,3.09,40.25,15.176666666666668,37.336666666666666,33.489999999999995,668.24,-0.4150648619674557,27.9,83.2
Arghakhanchi,2003,514.9399999999999,-0.8973870760181486,1,26.25,33.95666666666667,19.143333333333334,14.813333333333333,21.986666666666665,4.983333333333333,93.05333333333333,3.0733333333333337,19.43,15.076666666666668,35.300000000000004,54.33,339.48,-1.449430492047728,27.9,83.2
Arghakhanchi,2004,1025.48,0.7089063562156458,0,27.12,34.77333333333333,20.286666666666665,14.483333333333334,26.096666666666664,6.41,92.93,3.1933333333333334,96.13,15.116666666666667,39.39333333333334,40.0,514.9399999999999,-0.8973870760181486,27.9,83.2
Arghakhanchi,2005,1044.31,0.7681505003159361,0,25.983333333333334,33.580000000000005,19.143333333333334,14.44,26.94333333333333,5.8999999999999995,93.11333333333334,3.043333333333333,56.1,15.263333333333334,45.51,47.209999999999994,1025.48,0.7089063562156458,27.9,83.2
Arghakhanchi,2006,1046.31,0.7744430275703482,0,25.24,32.29333333333333,18.956666666666667,13.336666666666668,35.593333333333334,7.8999999999999995,93.06666666666666,2.703333333333333,202.8,16.066666666666666,40.51333333333333,1.5,1044.31,0.7681505003159361,27.9,83.2
Arghakhanchi,2007,1314.52,1.6183023950232922,0,25.330000000000002,32.29333333333333,19.11,13.183333333333332,38.85,8.479999999999999,93.08999999999999,2.81,134.03,14.590000000000002,44.79,130.5,1046.31,0.7744430275703482,27.9,83.2
Arghakhanchi,2008,1807.53,3.1694418258721635,0,25.900000000000002,33.376666666666665,19.173333333333332,14.203333333333333,28.856666666666666,6.506666666666667,92.96999999999998,2.8699999999999997,107.81,14.200000000000001,43.666666666666664,6.26,1314.52,1.6183023950232922,27.9,83.2
Arghakhanchi,2009,952.0500000000001,0.47787621806990316,0,26.03333333333333,33.516666666666666,19.456666666666667,14.06,28.80333333333333,6.676666666666667,93.00999999999999,3.013333333333333,135.26,16.19333333333333,45.97333333333333,8.01,1807.53,3.1694418258721635,27.9,83.2
Arghakhanchi,2010,1231.97,1.35857833259743,0,27.909999999999997,35.73666666666667,20.900000000000002,14.836666666666666,23.900000000000002,6.093333333333334,92.96333333333332,3.35,33.53,15.133333333333333,41.693333333333335,22.54,952.0500000000001,0.47787621806990316,27.9,83.2
