CROP,YEAR,YIELD,AREA,PRODUCTION
"OILSEED 
",1990/91,156310,92140,589
"OILSEED 
",1991/92,154570,87840,568
"OILSEED 
",1992/93,165240,93690,567
"OILSEED 
",1993/94,177486,107535,606
"OILSEED 
",1994/95,184460,116300,630
"OILSEED 
",1995/96,185000,115990,627
"OILSEED 
",1996/97,182110,119250,655
"OILSEED 
",1997/98,179216,110226,615
"OILSEED 
",1998/99,190429,119731,629
"OILSEED 
",1999/00,189629,122751,647
"OILSEED 
",2000/01,188455,132331,702
"OILSEED 
",2001/02,187820,134950,719
"OILSEED 
",2002/03,186720,124931,669
"OILSEED 
",2003/04,186741,132865,711
"OILSEED 
",2004/05,187823,141989,756
"OILSEED 
",2005/06,188062,139322,741
"OILSEED 
",2006/07,184218,135660,736
"OILSEED 
",2007/08,180328,134286,745
"OILSEED 
",2008/09,181361,135494,747
"OILSEED 
",2009/10,198540,155050,781
"OILSEED 
",2010/11,213706,176186,824
"OILSEED 
",2011/12,214835,179145.1,834
"OILSEED 
",2012/13,215600,179000,830
"OILSEED 
",2013/14,207457,181535.3,875
"POTATO 
",1990/91,84280,738030,8757
"POTATO 
",1991/92,85300,732860,8592
"POTATO 
",1992/93,87020,733300,8427
"POTATO 
",1993/94,89664,748913,8352
"POTATO 
",1994/95,97634,838932,8593
"POTATO 
",1995/96,106000,898350,8475
"POTATO 
",1996/97,110850,997400,8998
"POTATO 
",1997/98,116290,971680,8356
"POTATO 
",1998/99,118043,1091218,9244
"POTATO 
",1999/00,122620,1182500,9644
"POTATO 
",2000/01,129019,1313717,10182
"POTATO 
",2001/02,135093,1472757,10902
"POTATO 
",2002/03,140171,1531315,10925
"POTATO 
",2003/04,143027,1643357,11490
"POTATO 
",2004/05,146789,1738840,11846
"POTATO 
",2005/06,150864,1974755,13090
"POTATO 
",2006/07,153534,1943246,12657
"POTATO 
",2007/08,156737,2054817,13110
"POTATO 
",2008/09,181900,2424048,13326
"POTATO 
",2009/10,185342,2517696,13584
"POTATO 
",2010/11,182600,2508044,13735
"POTATO 
",2011/12,190250,2584301,13583.7
"POTATO 
",2012/13,197234,2690421,13641
"POTATO 
",2013/14,205725,2817512,13696
"TOBACCO 
",1990/91,7290,6980,957
"TOBACCO 
",1991/92,6520,6005,921
"TOBACCO 
",1992/93,6660,6020,904
"TOBACCO 
",1993/94,6742,6223,923
"TOBACCO 
",1994/95,6028,5447,904
"TOBACCO 
",1995/96,6130,5510,899
"TOBACCO 
",1996/97,5670,4480,790
"TOBACCO 
",1997/98,4871,3845,789
"TOBACCO 
",1998/99,4422,3911,884
"TOBACCO 
",1999/00,4283,3809,889
"TOBACCO 
",2000/01,4226,3973,940
"TOBACCO 
",2001/02,3813,3763,987
"TOBACCO 
",2002/03,3597,3460,962
"TOBACCO 
",2003/04,3398,3310,974
"TOBACCO 
",2004/05,3003,3016,1004
"TOBACCO 
",2005/06,2733,2718,995
"TOBACCO 
",2006/07,2729,2648,970
"TOBACCO 
",2007/08,2687,2614,973
"TOBACCO 
",2008/09,2542,2497,982
"TOBACCO 
",2009/10,2534,2491,989
"TOBACCO 
",2010/11,1135,1238,1091
"TOBACCO 
",2011/12,1893,2557,1351
"TOBACCO 
",2012/13,1800,2430,1350
"TOBACCO 
",2013/14,773.23,1004.3,1299
"SUGARCANE 
",1990/91,32960,1105960,33555
"SUGARCANE 
",1991/92,37410,1291340,34519
"SUGARCANE 
",1992/93,38330,1365870,35634
"SUGARCANE 
",1993/94,37785,1293092,34222
"SUGARCANE 
",1994/95,43583,1469214,33711
"SUGARCANE 
",1995/96,44820,1568700,35000
"SUGARCANE 
",1996/97,46360,1629300,35145
"SUGARCANE 
",1997/98,48800,1762580,36118
"SUGARCANE 
",1998/99,53894,1971646,36584
"SUGARCANE 
",1999/00,58126,2103426,36187
"SUGARCANE 
",2000/01,59422,2211781,37222
"SUGARCANE 
",2001/02,59477,2247990,37796
"SUGARCANE 
",2002/03,60425,2343054,38776
"SUGARCANE 
",2003/04,59425,2305326,38794
"SUGARCANE 
",2004/05,59082,2376103,40217
"SUGARCANE 
",2005/06,62058,2462574,39682
"SUGARCANE 
",2006/07,64019,2599789,40610
"SUGARCANE 
",2007/08,62962,2485437,39475
"SUGARCANE 
",2008/09,58101,2354412,40523
"SUGARCANE 
",2009/10,58310,2495098,42790
"SUGARCANE 
",2010/11,62998,2718226,43148
"SUGARCANE 
",2011/12,64472,2930047,45447
"SUGARCANE 
",2012/13,64483,2930000,45438
"SUGARCANE 
",2013/14,76863,3315939,43141
"JUTE 
",1990/91,14000,16000,1143
"JUTE 
",1991/92,15000,19000,1267
"JUTE 
",1992/93,9000,10000,1111
"JUTE 
",1993/94,9000,11000,1222
"JUTE 
",1994/95,10150,11695,1152
"JUTE 
",1995/96,11150,14950,1341
"JUTE 
",1996/97,11000,14000,1273
"JUTE 
",1997/98,12265,15545,1267
"JUTE 
",1998/99,11675,15195,1301
"JUTE 
",1999/00,14535,15175,1044
"JUTE 
",2000/01,11289,16392,1452
"JUTE 
",2001/02,11000,16000,1455
"JUTE 
",2002/03,11851,17035,1437
"JUTE 
",2003/04,11790,16890,1433
"JUTE 
",2004/05,11159,16207,1452
"JUTE 
",2005/06,11975,17100,1428
"JUTE 
",2006/07,11726,16815,1434
"JUTE 
",2007/08,11590,16988,1466
"JUTE 
",2008/09,11678,17658,1512
"JUTE 
",2009/10,10513,12959,1233
"JUTE 
",2010/11,10559,14418,1365
"JUTE 
",2011/12,10540,14424,1369
"JUTE 
",2012/13,11300,15500,1371
"JUTE 
",2013/14,8787,12659.4,1441
"COTTON 
",1990/91,1646,1232,748
"COTTON 
",1991/92,1998,2312,1157
"COTTON 
",1992/93,1648,1579,958
"COTTON 
",1993/94,3000,2935,978
"COTTON 
",1994/95,3439,2497,726
"COTTON 
",1995/96,3680,2650,720
"COTTON 
",1996/97,2343,1604,685
"COTTON 
",1997/98,2062,704,341
"COTTON 
",1998/99,1264,678,536
"COTTON 
",1999/00,1229,744,605
"COTTON 
",2000/01,1136,459,404
"COTTON 
",2001/02,102,150,1475
"COTTON 
",2002/03,118,61,520
"COTTON 
",2003/04,16,13,806
"COTTON 
",2004/05,20,12,600
"COTTON 
",2005/06,59,57,966
"COTTON 
",2006/07,50,45,900
